,comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating
0,-1,-1,100,100,11:20,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107875,2,,,,,,243,,,,,12807,2022-10-13 17:37:07,100.0
1,-1,-1,100,100,11:40,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107768,6,,,,,,136,,,,,12807,2022-10-13 17:48:49,100.0
2,-1,-1,100,100,10:42,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107982,3,,,,,,350,,,,,12807,2022-10-13 17:59:33,95.83333333333333
3,-1,-1,75,100,10:8,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107653,4,,,,,,21,,,,,12807,2022-10-13 18:09:43,95.83333333333333
4,-1,-1,75,100,13:47,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107858,1,,,,,,226,,,,,12807,2022-10-13 18:23:33,95.83333333333333
5,-1,-1,100,100,7:8,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107733,5,,,,,,101,,,,,12807,2022-10-13 18:30:43,100.0
6,-1,-1,100,100,1:30,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107753,6,,,,,,121,,,,,12805,2022-10-13 18:31:14,95.83333333333333
7,-1,-1,100,100,3:49,1,-1,-1,-1,-1,-1,-1,-1,75,100,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107865,1,,,,,,233,,,,,12805,2022-10-13 18:35:05,90.0
8,-1,-1,100,100,2:50,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107972,3,,,,,,340,,,,,12805,2022-10-13 18:37:57,100.0
9,-1,-1,75,75,3:22,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107657,4,,,,,,25,,,,,12805,2022-10-13 18:41:20,90.0
10,-1,-1,100,100,2:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107915,2,,,,,,283,,,,,12805,2022-10-13 18:43:58,100.0
11,-1,-1,100,100,15:14,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107959,3,,,,,,327,,,,,12807,2022-10-13 18:45:59,100.0
12,-1,-1,100,100,7:7,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107880,2,,,,,,248,,,,,12807,2022-10-13 18:53:07,100.0
13,-1,-1,100,100,10:49,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107721,5,,,,,,89,,,,,12805,2022-10-13 18:54:48,100.0
14,-1,-1,100,100,1:44,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107903,2,,,,,,271,,,,,12805,2022-10-13 18:56:39,100.0
15,-1,-1,100,75,5:35,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107992,3,,,,,,360,,,,,12805,2022-10-13 19:02:16,87.5
16,the horoscope jumps from 2018 to 2021,-1,75,75,2:11,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107761,6,,,,,,129,,,,,12805,2022-10-13 19:04:29,87.5
17,-1,-1,100,100,1:5,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107723,5,,,,,,91,,,,,12805,2022-10-13 19:05:39,100.0
18,-1,-1,75,100,1:29,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107856,1,,,,,,224,,,,,12805,2022-10-13 19:07:19,87.5
19,The Input instructs &quot;year&quot; but the Output describes the month November,-1,75,75,16:45,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107792,6,,,,,,160,,,,,12807,2022-10-13 19:09:54,83.33333333333333
20,-1,-1,100,75,8:30,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107684,4,,,,,,52,,,,,12807,2022-10-13 19:18:27,95.83333333333333
21,-1,-1,100,100,16:56,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107722,5,,,,,,90,,,,,12807,2022-10-13 19:35:25,100.0
22,-1,-1,75,100,24:1,1,-1,-1,-1,-1,-1,-1,-1,75,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107848,1,,,,,,216,,,,,12809,2022-10-13 21:17:08,85.83333333333333
23,-1,-1,100,100,2:58,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107714,5,,,,,,82,,,,,12809,2022-10-13 21:20:07,98.33333333333333
24,Very up and down in terms of better/worse health issues&comma; which is a little confusing for the reader. This is also making the style of reading a little too jumpy,-1,75,75,11:2,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107686,4,,,,,,54,,,,,12809,2022-10-13 21:31:11,83.33333333333333
25,-1,-1,100,100,10:34,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107873,2,,,,,,241,,,,,12809,2022-10-13 21:41:47,100.0
26,The last sentence is stylistically weaker,-1,100,75,5:32,0,-1,-1,-1,-1,-1,-1,-1,100,75,80,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107787,6,,,,,,155,,,,,12809,2022-10-13 21:47:20,84.16666666666667
27,-1,-1,100,100,5:15,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107963,3,,,,,,331,,,,,12809,2022-10-13 21:52:36,100.0
28,-1,-1,100,100,6:55,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107894,2,,,,,,262,,,,,12809,2022-10-13 21:59:32,100.0
29,-1,-1,100,50,7:34,0,-1,-1,-1,-1,-1,-1,-1,100,50,80,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107660,4,,,,,,28,,,,,12809,2022-10-13 22:07:07,75.83333333333333
30,Es werden mehrfach versch. Sternenkonstellation und Planeten genannt&comma;  die das Textverständnis erschweren bis hin zu irritieren. Inklusive Verweise auf indische Gottheiten,-1,75,50,26:39,1,-1,-1,-1,-1,-1,-1,-1,100,25,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107690,4,,,,,,58,,,,,12806,2022-10-14 14:26:47,75.0
31,-1,-1,100,100,15:11,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107712,5,,,,,,80,,,,,12806,2022-10-14 14:41:59,95.83333333333333
32,-1,-1,100,75,17:50,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107906,2,,,,,,274,,,,,12806,2022-10-14 14:59:51,95.83333333333333
33,Der Text besteht aus zwei unzusammenhängend wirkenden Textteilen (auch optisch voneinander abgegrenzt). Der erste Teil passt  mehr oder weniger zum Input.Im zweiten Teil sind eigentlich mehr oder weniger  „nur“ Gedankengänge zu Thanksgiving + xmas dargestellt; wobei die Erzählerinstanz sich auch als „I“  mit einer Anekdote einbringt.Zu Grammar:  es wird &quot;--&quot;  anstatt einem einzelnen Bindestrich verwendet,-1,25,25,29:40,1,-1,-1,-1,-1,-1,-1,-1,75,50,70,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107978,3,,,,,,346,,,,,12806,2022-10-14 15:29:32,57.5
34,Durch Verweise auf verschiedene Sternenkonstellationen  wirkt der Text inhaltlich unübersichtlich,-1,75,50,21:4,0,-1,-1,-1,-1,-1,-1,-1,100,75,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107843,1,,,,,,211,,,,,12806,2022-10-14 15:50:37,79.16666666666667
35,-1,-1,100,75,14:45,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107783,6,,,,,,151,,,,,12806,2022-10-14 16:05:23,95.83333333333333
36,Inhaltlicher Sprung von 2018 zu 2023. Dieser ist meiner Meinung nach zu groß,-1,75,75,13:33,1,-1,-1,-1,-1,-1,-1,-1,100,100,80,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107757,6,,,,,,125,,,,,12806,2022-10-14 19:43:35,88.33333333333333
37,-1,-1,75,100,14:14,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107648,4,,,,,,16,,,,,12806,2022-10-14 19:57:50,91.66666666666667
38,Gut geschrieben&comma; aber Sätze zu lang,-1,100,75,11:12,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107904,2,,,,,,272,,,,,12806,2022-10-14 20:09:04,95.83333333333333
39,Durch Verweise auf verschiedene Sternenkonstellationen  wirkt der Text inhaltlich unübersichtlich,-1,75,75,27:38,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107845,1,,,,,,213,,,,,12806,2022-10-14 21:40:25,90.0
40,-1,-1,100,75,11:12,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107713,5,,,,,,81,,,,,12806,2022-10-14 21:51:38,95.83333333333333
41,Sehr ‚frisch‘ geschrieben,-1,100,100,10:37,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107940,3,,,,,,308,,,,,12806,2022-10-14 22:02:16,100.0
42,Zu lange Sätze,-1,100,75,13:15,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107694,5,,,,,,62,,,,,12806,2022-10-14 22:15:33,94.16666666666667
43,-1,-1,100,75,10:19,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107753,6,,,,,,121,,,,,12806,2022-10-14 22:25:53,91.66666666666667
44,Text wirkt etwas unzusammenhängend,-1,50,50,12:31,0,-1,-1,-1,-1,-1,-1,-1,100,50,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107644,4,,,,,,12,,,,,12806,2022-10-14 22:38:26,75.0
45,Der zweite Teil passt  weniger gut zum Input; er passt eher zum Thema „work“&comma; obwohl auch &quot;health&quot; thematisiert ist.Text endet mit: &quot;…&quot,-1,75,75,16:37,0,-1,-1,-1,-1,-1,-1,-1,50,75,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107982,3,,,,,,350,,,,,12806,2022-10-14 22:55:07,75.0
46,Dem Thema entsprechend eine passende Wortwahl genutzt,-1,100,100,12:9,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107874,2,,,,,,242,,,,,12806,2022-10-14 23:07:27,100.0
47,Zum größten Teil wirkt der Text eher wie eine Aufzählung,-1,75,50,15:38,0,-1,-1,-1,-1,-1,-1,-1,100,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107862,1,,,,,,230,,,,,12806,2022-10-14 23:23:18,81.66666666666667
48,Sehr ausführliche Beschreibung,-1,100,100,25:49,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107756,6,,,,,,124,,,,,12806,2022-10-14 23:49:52,98.33333333333333
49,-1,-1,100,50,11:1,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107725,5,,,,,,93,,,,,12806,2022-10-15 00:00:58,91.66666666666667
50,Die Themenbereiche  „career.+ Sociable and Eventful“  sind nicht besonders gut miteinander verbunden,-1,75,75,5:36,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107961,3,,,,,,329,,,,,12806,2022-10-15 00:06:35,87.5
51,Die Themenbereiche  „ love. Tap Your Creativity“  sind nicht besonders gut miteinander verbunden,-1,75,75,17:10,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107886,2,,,,,,254,,,,,12806,2022-10-15 00:23:58,87.5
52,Text wirkt etwas unzusammenhängend,-1,50,75,15:28,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107814,1,,,,,,182,,,,,12806,2022-10-15 00:40:45,79.16666666666667
53,Im letzten Satz Wechsel von der Anrede „you“ zu  3. Person „he“.  : &quot;If he wants to take a financial risk the latter part of the year will be advantageous for him.&quot;+ Durch Verweise auf verschiedene Sternenkonstellationen  wirkt der Text inhaltlich unübersichtlich,-1,75,75,18:51,1,-1,-1,-1,-1,-1,-1,-1,100,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107679,4,,,,,,47,,,,,12806,2022-10-15 18:19:50,85.83333333333333
54,-1,-1,100,75,20:12,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107842,1,,,,,,210,,,,,12806,2022-10-15 18:40:03,91.66666666666667
55,Teilweise zu lange Sätze,-1,100,75,13:47,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107967,3,,,,,,335,,,,,12806,2022-10-15 18:53:52,95.83333333333333
56,Durch Verweise auf verschiedene Sternenkonstellationen  wirkt der Text inhaltlich unübersichtlich. Zusätzlich durch die mehrfache und wiederholte Nennung von den verschiedenen  &#039;astrologischen Häuser&#039; wie &quot;the fifth house&quot; sowie &quot;Rahu&quot,-1,50,75,25:54,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107640,4,,,,,,8,,,,,12806,2022-10-15 19:19:47,87.5
57,-1,-1,75,50,6:14,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107641,4,,,,,,9,,,,,12805,2022-10-16 23:40:31,85.83333333333333
58,Unnecessary quotation marks,-1,100,100,2:39,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107796,6,,,,,,164,,,,,12805,2022-10-16 23:43:11,98.33333333333333
59,-1,-1,100,100,1:44,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107727,5,,,,,,95,,,,,12805,2022-10-16 23:44:56,100.0
60,-1,-1,100,75,2:20,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107678,4,,,,,,46,,,,,12805,2022-10-16 23:47:18,95.83333333333333
61,-1,-1,100,100,1:14,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107917,2,,,,,,285,,,,,12805,2022-10-16 23:48:33,98.33333333333333
62,the zodiac sign not addressed,-1,100,100,2:21,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107870,1,,,,,,238,,,,,12805,2022-10-16 23:50:56,91.66666666666667
63,-1,-1,100,100,1:26,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107975,3,,,,,,343,,,,,12805,2022-10-16 23:52:24,100.0
64,-1,-1,100,100,1:5,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107742,5,,,,,,110,,,,,12805,2022-10-16 23:53:37,100.0
65,-1,-1,100,100,0:47,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107673,4,,,,,,41,,,,,12805,2022-10-16 23:54:26,100.0
66,-1,-1,100,100,1:8,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,107788,6,,,,,,156,,,,,12805,2022-10-16 23:55:35,91.66666666666667
67,-1,-1,100,100,1:19,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107873,2,,,,,,241,,,,,12805,2022-10-16 23:57:01,100.0
68,Gute Wortwahl und gut formuliert,-1,100,100,10:39,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107902,2,,,,,,270,,,,,12806,2022-10-20 14:27:44,98.33333333333333
69,Nicht aktuell&comma; das genannte vorhergehende Jahr ist 2020,-1,100,100,14:38,1,-1,-1,-1,-1,-1,-1,-1,100,75,70,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107772,6,,,,,,140,,,,,12806,2022-10-20 14:42:23,90.83333333333333
70,Gut formuliert;  dem Thema entsprechend eine passende &comma; lebendige und &quot;feurige&quot; Wortwahl genutzt,-1,100,100,17:11,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107695,5,,,,,,63,,,,,12806,2022-10-20 14:59:36,98.33333333333333
71,Trotz  verschiedener Verweise auf andere Sternenkonstellationen ist der Text inhaltlich übersichtlich,-1,100,75,23:11,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107850,1,,,,,,218,,,,,12806,2022-10-20 15:22:48,91.66666666666667
72,Sehr gut formuliert;  dem Thema entsprechend eine passende Wortwahl genutzt,-1,100,100,19:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107724,5,,,,,,92,,,,,12806,2022-10-20 15:42:26,100.0
73,Durch Verweise auf verschiedene Sternenkonstellationen  wirkt der Text inhaltlich unübersichtlich. + Zudem ist er unübersichtlich da die Sätze sehr ‚verwurschtelt‘  und zu lange sind,-1,100,25,21:4,0,-1,-1,-1,-1,-1,-1,-1,100,50,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107638,4,,,,,,6,,,,,12806,2022-10-20 16:03:31,77.5
74,Es wird die Abkürzung „Sag bzw. Sags born“ für   genutzt. Die Abkürzung aber nicht im Netz gefunden&comma; deshalb hier als Fehler gewertet.+ Horoskop zu speziell&comma; es bezieht sich nur auf Personen&comma; die zwischen 1988-1990 geboren sind,-1,75,75,17:45,0,-1,-1,-1,-1,-1,-1,-1,100,100,60,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107755,6,,,,,,123,,,,,12806,2022-10-20 16:21:17,85.0
75,Text endet mit ... + Es wird &quot;--&quot; statt &quot;-&quot; genutzt.+ Zu ausführliche Schilderungen&comma; man verliert sich dadurch etwas beim Lesen,-1,75,50,24:32,0,-1,-1,-1,-1,-1,-1,-1,75,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107992,3,,,,,,360,,,,,12806,2022-10-20 16:45:51,77.5
76,-1,-1,75,75,27:8,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107930,2,,,,,,298,,,,,12806,2022-10-20 17:13:00,90.0
77,-1,-1,100,100,7:52,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107959,3,,,,,,327,,,,,12809,2022-10-20 17:17:55,100.0
78,-1,-1,100,75,0:48,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107703,5,,,,,,71,,,,,12809,2022-10-20 17:18:45,91.66666666666667
79,-1,-1,75,75,3:34,1,-1,-1,-1,-1,-1,-1,-1,50,25,100,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,107829,1,,,,,,197,,,,,12809,2022-10-20 17:24:32,62.5
80,-1,-1,75,75,0:56,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107786,6,,,,,,154,,,,,12809,2022-10-20 17:25:30,87.5
81,sing,-1,100,75,2:56,1,-1,-1,-1,-1,-1,-1,-1,100,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107936,3,,,,,,304,,,,,12809,2022-10-20 17:35:00,90.0
82,Stylistically lacking and grammatically wrong: ‘this year the Gemini natives are estimated to get a good financial position in the year. ‘Overall&comma; the style of writing is making it harder to understand,-1,75,50,6:5,1,-1,-1,-1,-1,-1,-1,-1,100,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107675,4,,,,,,43,,,,,12809,2022-10-20 17:41:06,81.66666666666667
83,-1,-1,100,75,14:37,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107835,1,,,,,,203,,,,,12809,2022-10-20 17:55:44,94.16666666666667
84,It is all positive predictions,-1,100,75,1:13,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107707,5,,,,,,75,,,,,12809,2022-10-20 17:56:59,95.83333333333333
85,The second part  is a horoscope for saggitarius&comma; so I marked it as a bug,-1,0,0,3:43,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,107799,6,,,,,,167,,,,,12809,2022-10-20 18:00:43,0.0
86,-1,-1,100,100,3:40,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107883,2,,,,,,251,,,,,12809,2022-10-20 18:04:24,100.0
87,-1,-1,100,100,3:1,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107919,2,,,,,,287,,,,,12809,2022-10-20 18:07:26,100.0
88,A general news article and only the second part includes the horoscope,-1,100,50,1:18,0,-1,-1,-1,-1,-1,-1,-1,100,75,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107802,6,,,,,,170,,,,,12809,2022-10-20 18:08:45,83.33333333333333
89,-1,-1,75,75,12:20,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107710,5,,,,,,78,,,,,12806,2022-10-20 18:15:24,90.0
90,-1,-1,100,75,5:58,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107696,5,,,,,,64,,,,,12809,2022-10-20 18:31:47,95.83333333333333
91,-1,-1,100,100,2:38,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107820,1,,,,,,188,,,,,12809,2022-10-20 18:34:26,100.0
